,time1,object1,xloc1,yloc1,alt1,az1,time2,object2,xloc2,yloc2,alt2,az2,time_dif,pix_dif,ang_dist,pix_mid_x,pix_mid_y,ratio
5501,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:37:28,Arcturus,221.5,292.5,0.317856617547,4.87122604797,2191.0,315.1258135743941,71.55875059670181,325.25,173.9166660308838,0.22707993923134578
5506,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:30:14,Arcturus,214.0,288.5,0.34001336310400004,4.85000053049,2625.0,317.16193819154586,71.55867563334306,321.5,171.9166660308838,0.22562188906200378
5510,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:27:56,Arcturus,211.22222900390625,286.4444580078125,0.34707275390500003,4.84323359779,2763.0,317.55237375285935,71.5585154960918,320.1111145019531,170.88889503479004,0.22534397916919197
5512,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:26:56,Arcturus,210.22222900390625,285.5555419921875,0.350144035769,4.840288417,2823.0,317.5940475312243,71.55842536335108,319.6111145019531,170.44443702697754,0.2253141263811495
5513,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:26:49,Arcturus,210.0952453613281,286.0952453613281,0.350502428294,4.83994468808,2830.0,318.0728725199479,71.55841403839925,319.54762268066406,170.71428871154785,0.22497490424591765
5515,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:26:24,Arcturus,209.22222900390625,285.5555419921875,0.351782530291,4.83871686887,2855.0,318.28373280652875,71.55837221144598,319.1111145019531,170.44443702697754,0.22482572885665916
5517,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:25:40,Arcturus,208.5,285.5,0.354035993577,4.83655507642,2899.0,318.7427568271765,71.55829335647857,318.75,170.4166660308838,0.22450170811341055
5520,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:25:26,Arcturus,208.3333282470703,285.0,0.354753132662,4.83586700793,2913.0,318.4973443913866,71.55826686476333,318.66666412353516,170.1666660308838,0.2246746107145832
5522,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:25:17,Arcturus,208.0,284.5,0.355214183008,4.83542462003,2922.0,318.368279974485,71.55824947749515,318.5,169.9166660308838,0.22476563771752026
5523,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:25:09,Arcturus,208.0,284.6666564941406,0.35562402671599996,4.83503134794,2930.0,318.4882630415194,71.55823378710896,318.5,169.9999942779541,0.22468091321085934
5525,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 12:24:55,Arcturus,208.0,284.6666564941406,0.356341300976,4.83434303431,2944.0,318.4882630415194,71.55820579817107,318.5,169.9999942779541,0.22468082533026487
5528,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 05:02:00,Procyon,150.4761962890625,300.23809814453125,0.335475362793,4.49789239866,29519.0,370.88253353812985,85.45295114304534,289.73809814453125,177.7857151031494,0.23040435559972267
5529,2019-01-26 13:13:59,Polaris,429.0,55.33333206176758,0.782717918377,0.0159091905452,2019-01-26 03:02:08,Procyon,72.5,315.5,0.669470138479,4.0346207632499995,36711.0,441.33767696185026,85.28687249190598,250.75,185.4166660308838,0.19324629856897144
