,Code,Filename,Real_flag
0,5KR,20181117_050251.avi,0.0
1,5R8,20190126_123805.avi,0.0
2,0K7,20181020_031331.avi,0.0
3,0MY,20181117_041637.avi,0.0
4,5RF,20190126_130920.avi,0.0
5,5KM,20181117_050223.avi,0.0
6,5RK,20190126_131144.avi,0.0
7,5S5,20190126_131505.avi,0.0
8,5MY,20181207_090433.avi,0.0
9,0N6,20181117_041716.avi,0.0
10,5LE,20181117_050449.avi,0.0
11,5J6,20181117_043200.avi,0.0
12,5RI,20190126_131128.avi,0.0
13,5OS,20190126_122517.avi,0.0
14,5M3,20181117_050654.avi,0.0
15,0KW,20181020_041226.avi,0.0
16,0ML,20181117_041525.avi,0.0
17,0MD,20181117_034518.avi,0.0
18,0MK,20181117_041520.avi,0.0
19,5JF,20181117_043242.avi,0.0
20,0NI,20181117_041840.avi,0.0
21,0LA,20181022_104339.avi,0.0
22,5MG,20181119_020001.avi,0.0
23,5KL,20181117_050218.avi,0.0
24,0N1,20181117_041652.avi,0.0
25,5OO,20190126_054825.avi,0.0
26,5JP,20181117_045928.avi,0.0
27,5K3,20181117_050043.avi,0.0
28,0MH,20181117_041502.avi,0.0
29,0LL,20181022_115455.avi,0.0
30,0KC,20181020_031958.avi,0.0
31,0N4,20181117_041706.avi,0.0
32,5MW,20181206_043239.avi,0.0
33,0N3,20181117_041701.avi,0.0
34,5RN,20190126_131212.avi,0.0
35,0K9,20181020_031351.avi,0.0
36,5MA,20181118_021021.avi,0.0
37,5K2,20181117_050038.avi,0.0
38,5OM,20190126_054811.avi,0.0
39,5MQ,20181206_021229.avi,0.0
40,0MN,20181117_041536.avi,0.0
41,02Y,20180819_054358.avi,0.0
42,5KE,20181117_050142.avi,0.0
43,0NE,20181117_041804.avi,0.0
44,5K6,20181117_050059.avi,0.0
45,0MU,20181117_041616.avi,0.0
46,0K2,20181020_030820.avi,0.0
47,5M8,20181117_050716.avi,0.0
48,5LO,20181117_050541.avi,0.0
49,5SK,20190126_131652.avi,0.0
50,5MH,20181119_031209.avi,0.0
51,5LP,20181117_050545.avi,0.0
52,0L3,20181021_032402.avi,0.0
53,5OQ,20190126_122455.avi,0.0
54,5JX,20181117_050012.avi,0.0
55,5KK,20181117_050212.avi,0.0
56,5SQ,20190126_131737.avi,0.0
57,0JZ,20181020_030003.avi,0.0
58,0MF,20181117_034538.avi,0.0
59,5ON,20190126_054818.avi,0.0
60,0KD,20181020_032614.avi,0.0
61,5MX,20181206_043251.avi,0.0
62,0K1,20181020_030808.avi,0.0
63,5RU,20190126_131310.avi,0.0
64,5L1,20181117_050344.avi,0.0
65,0LC,20181022_111337.avi,0.0
66,0K5,20181020_031034.avi,0.0
67,5SL,20190126_131700.avi,0.0
68,0L0,20181020_045722.avi,0.0
69,5LJ,20181117_050515.avi,0.0
70,0M0,20181023_102149.avi,0.0
71,0LW,20181023_101946.avi,0.0
72,0KH,20181020_033806.avi,0.0
73,5SN,20190126_131716.avi,0.0
74,0LH,20181022_112338.avi,0.0
75,5J8,20181117_043210.avi,0.0
76,0KQ,20181020_034847.avi,0.0
77,0NN,20181117_041914.avi,0.0
78,5JT,20181117_045950.avi,0.0
79,5ML,20181205_030922.avi,0.0
80,0NJ,20181117_041848.avi,0.0
81,5JS,20181117_045945.avi,0.0
82,5RM,20190126_131204.avi,0.0
83,5K8,20181117_050109.avi,0.0
84,0MX,20181117_041632.avi,0.0
85,5KP,20181117_050239.avi,0.0
86,0M1,20181023_102154.avi,0.0
87,5S1,20190126_131414.avi,0.0
88,5J5,20181117_043155.avi,0.0
89,5QU,20190126_122656.avi,0.0
90,5RO,20190126_131220.avi,0.0
91,5MM,20181205_030932.avi,0.0
92,0LK,20181022_114752.avi,0.0
93,5JE,20181117_043238.avi,0.0
94,5K9,20181117_050114.avi,0.0
95,5LU,20181117_050609.avi,0.0
96,0NC,20181117_041751.avi,0.0
97,5JD,20181117_043233.avi,0.0
98,5MI,20181119_104615.avi,1.0
99,5MS,20181206_021245.avi,0.0
100,0JX,20181019_030003.avi,0.0
101,0NP,20181117_041928.avi,0.0
102,0NT,20181117_041953.avi,0.0
103,5SA,20190126_131542.avi,0.0
104,0KE,20181020_033201.avi,0.0
105,5KS,20181117_050256.avi,0.0
106,0KL,20181020_034801.avi,0.0
107,5QX,20190126_122815.avi,0.0
108,5JZ,20181117_050023.avi,0.0
109,5S8,20190126_131527.avi,0.0
110,5OL,20190126_054730.avi,0.0
111,5M9,20181117_052459.avi,0.0
112,5KV,20181117_050312.avi,0.0
113,5KX,20181117_050322.avi,0.0
114,5LH,20181117_050505.avi,0.0
115,5SE,20190126_131610.avi,0.0
116,0KF,20181020_033743.avi,0.0
117,5L3,20181117_050354.avi,0.0
118,5L0,20181117_050338.avi,0.0
119,0MB,20181023_114511.avi,0.0
120,5S2,20190126_131422.avi,0.0
121,5S6,20190126_131512.avi,0.0
122,5LL,20181117_050525.avi,0.0
123,0K8,20181020_031346.avi,0.0
124,5J7,20181117_043204.avi,0.0
125,5JV,20181117_050001.avi,0.0
126,5KB,20181117_050125.avi,0.0
127,0K4,20181020_031020.avi,0.0
128,5MD,20181118_033239.avi,0.0
129,5M6,20181117_050708.avi,0.0
130,5SD,20190126_131603.avi,0.0
131,0L4,20181021_032407.avi,0.0
132,5RG,20190126_131113.avi,0.0
133,0N2,20181117_041657.avi,0.0
134,5SJ,20190126_131645.avi,0.0
135,0KA,20181020_031914.avi,0.0
136,5LM,20181117_050531.avi,0.0
137,5KN,20181117_050228.avi,0.0
138,5LT,20181117_050604.avi,0.0
139,5LR,20181117_050555.avi,0.0
140,5MT,20181206_022743.avi,0.0
141,5LB,20181117_050434.avi,0.0
142,5LZ,20181117_050634.avi,0.0
